trade_date,rank_correlation,top5_overlap
20240102,0.9999999999999999,1.0
20240103,0.9999999999999999,1.0
20240104,0.9999999999999999,1.0
20240105,0.9999999999999999,1.0
20240108,0.9999999999999999,1.0
20240109,0.9999999999999999,1.0
20240110,0.9999999999999999,1.0
20240111,0.9999999999999999,1.0
20240112,0.9999999999999999,1.0
20240115,0.9999999999999999,1.0
20240116,0.9999999999999999,1.0
20240117,0.9999999999999999,1.0
20240118,0.9999999999999999,1.0
20240119,0.9999999999999999,1.0
20240122,0.9999999999999999,1.0
20240123,0.9999999999999999,1.0
20240124,0.9999999999999999,1.0
20240125,0.9999999999999999,1.0
20240126,1.0,1.0
20240129,1.0,1.0
20240130,0.9999999999999999,1.0
20240131,1.0,1.0
20240201,1.0,1.0
20240202,1.0,1.0
20240205,1.0,1.0
20240206,1.0,1.0
20240207,1.0,1.0
20240208,1.0,1.0
20240219,1.0,1.0
20240220,1.0,1.0
20240221,1.0,1.0
20240222,1.0,1.0
20240223,0.9999999999999999,1.0
20240226,1.0,1.0
20240227,1.0,1.0
20240228,0.9999999999999999,1.0
20240229,1.0,1.0
20240301,1.0,1.0
20240304,1.0,1.0
20240305,1.0,1.0
20240306,1.0,1.0
20240307,1.0,1.0
20240308,1.0,1.0
20240311,1.0,1.0
20240312,1.0,1.0
20240313,1.0,1.0
20240314,1.0,1.0
20240315,1.0,1.0
20240318,1.0,1.0
20240319,1.0,1.0
20240320,1.0,1.0
20240321,1.0,1.0
20240322,0.9999999999999999,1.0
20240325,0.9999999999999999,1.0
20240326,0.9999999999999999,1.0
20240327,0.9999999999999999,1.0
20240328,0.9999999999999999,1.0
20240329,0.9999999999999999,1.0
20240401,0.9477342701795162,0.6
20240402,0.9442000545968554,0.4
20240403,0.9495790171572852,0.4
20240408,0.9564094062141868,0.4
20240409,0.9602827490376109,0.6
20240410,0.9429442106318501,0.6
20240411,0.943377677840504,0.4
20240412,0.897752184560137,0.4
20240415,0.8618567783727699,0.6
20240416,0.8613527390182103,0.4
20240417,0.9237158259749381,0.6
20240418,0.9030130557411944,0.6
20240419,0.8940847307007497,0.4
20240422,0.9134132999114106,0.8
20240423,0.935276607004394,0.4
20240424,0.9218606407689421,0.4
20240425,0.9274646268051319,0.4
20240426,0.9522264725857572,0.6
20240429,0.9414923411020448,0.8
20240430,0.9195271514767307,0.4
20240506,0.9306376810096578,0.8
20240507,0.9527613002386539,0.6
20240508,0.946542235042502,0.6
20240509,0.952532467226135,0.4
20240510,0.911803039387495,0.0
20240513,0.9276333379684866,0.6
20240514,0.9402417483228647,0.4
20240515,0.9430832245120679,0.6
20240516,0.938056277348995,0.8
20240517,0.915963040681444,0.4
20240520,0.9326250609627478,0.4
20240521,0.9302667040174649,0.6
20240522,0.945042029756785,0.2
20240523,0.9112890418384618,0.6
20240524,0.8915104586353018,0.4
20240527,0.9091951030318172,0.2
20240528,0.9203625103918424,0.4
20240529,0.9130844419083156,0.2
20240530,0.9229157723337492,0.2
20240531,0.9243907096190638,0.4
20240603,0.8964039641720132,0.4
20240604,0.8996197770747995,0.6
20240605,0.8860520122050204,0.2
20240606,0.9195876445410797,0.6
20240607,0.9284039069302352,0.4
20240611,0.9448314475595995,0.4
20240612,0.9060350274961775,0.6
20240613,0.9228027542239289,0.8
20240614,0.9226838433739735,0.4
20240617,0.9308450898852435,0.6
20240618,0.9261135202843843,0.2
20240619,0.9348565310856395,0.6
20240620,0.9252464415067287,0.4
20240621,0.9367064243610275,0.6
20240624,0.9158684047297807,0.4
20240625,0.9263544723940345,0.8
20240626,0.9205877657326567,0.2
20240627,0.9134735071187752,0.4
20240628,0.9344169153911066,0.2
20240701,0.8657418706277815,0.6
20240702,0.8694604968104168,0.2
20240703,0.8716755923791261,0.2
20240704,0.8912220163884536,0.6
20240705,0.9157300367099106,0.2
20240708,0.816582360411152,0.2
20240709,0.8676203692163914,0.2
20240710,0.8672586501421956,0.6
20240711,0.893429302276452,0.2
20240712,0.9036125268252598,0.2
20240715,0.8753140479188698,0.2
20240716,0.9274750673586004,0.8
20240717,0.9232719422771902,0.8
20240718,0.9323329102950765,0.6
20240719,0.9392637200521122,0.4
20240722,0.9324676283996404,0.4
20240723,0.9094965105987665,0.6
20240724,0.9342242107335991,0.4
20240725,0.9261056805039416,0.6
20240726,0.914124970853815,0.6
20240729,0.9003329807630571,0.2
20240730,0.9091657179820187,0.6
20240731,0.9289175621470394,0.8
20240801,0.9107168256509776,0.2
20240802,0.9282504403666016,0.4
20240805,0.8859480127750763,0.2
20240806,0.9313796423949703,0.2
20240807,0.9357091647862795,0.4
20240808,0.8760192494444656,0.0
20240809,0.8878190537779435,0.2
20240812,0.8801716483143763,0.0
20240813,0.8661513384393874,0.2
20240814,0.8528676473769644,0.2
20240815,0.8740532945480747,0.2
20240816,0.8708922841208415,0.0
20240819,0.9034848177599417,0.0
20240820,0.8809684764625115,0.4
20240821,0.9071617279834556,0.2
20240822,0.8679739354307275,0.4
20240823,0.9005871165726552,0.2
20240826,0.8982649056576517,0.2
20240827,0.8656927259931233,0.6
20240828,0.8713205285668347,0.8
20240829,0.894307425612112,0.6
20240830,0.9212367537940421,0.6
20240902,0.8871593599035044,0.6
20240903,0.944267777548577,0.2
20240904,0.9308671050658696,0.4
20240905,0.9305584121494233,0.4
20240906,0.9148768370252633,0.0
20240909,0.9200668883891486,0.4
20240910,0.9078523952900126,0.4
20240911,0.9001614731043313,0.2
20240912,0.9105050783018793,0.2
20240913,0.9026269466770986,0.2
20240918,0.9017795069264748,0.2
20240919,0.9032554765860601,0.6
20240920,0.8751292358532613,0.8
20240923,0.8863016552847292,0.8
20240924,0.8779898405031615,0.4
20240925,0.8869768670386795,0.2
20240926,0.9091071055869956,0.4
20240927,0.8986360304983194,0.2
20240930,0.8570461664602715,0.4
20241008,0.8557743617580804,0.4
20241009,0.9190517281221783,0.4
20241010,0.9181194263491158,0.2
20241011,0.8966005792646328,0.2
20241014,0.9099790958466473,0.2
20241015,0.9072591661892057,0.0
20241016,0.9199825826496915,0.2
20241017,0.9322901576535784,0.6
20241018,0.9235543956023692,0.8
20241021,0.9136494061275553,0.4
20241022,0.9277449217616884,0.4
20241023,0.923978375063575,0.6
20241024,0.9139216497890006,0.2
20241025,0.8975869993088681,0.6
20241028,0.9150907645773052,0.0
20241029,0.9070514511662663,0.2
20241030,0.9030291904720626,0.4
20241031,0.9258072522300909,0.2
20241101,0.9056191729757084,0.6
20241104,0.9351734402227604,0.8
20241105,0.9373235369203636,0.6
20241106,0.9444743568326666,0.6
20241107,0.9422411167103298,0.6
20241108,0.9183516362766628,0.4
20241111,0.9089933203282116,0.6
20241112,0.9139437496173266,0.2
20241113,0.9046967508170646,0.4
20241114,0.9066421962169936,0.4
20241115,0.9238263130893162,0.2
20241118,0.9247388917015291,0.2
20241119,0.9327191450156809,0.4
20241120,0.9326185488076117,0.6
20241121,0.925520023173501,0.2
20241122,0.911348954738399,0.4
20241125,0.9049244757660211,0.8
20241126,0.9048569819304582,0.8
20241127,0.9147799702908221,0.6
20241128,0.9241421867387138,0.8
20241129,0.9171027834313108,0.8
20241202,0.9144037616514608,0.6
20241203,0.9301737645339261,0.8
20241204,0.9405679280273763,0.6
20241205,0.9361321733864733,0.8
20241206,0.943188908255261,0.8
20241209,0.9289581281900259,0.6
20241210,0.8975120208870526,0.8
20241211,0.9308870443064609,0.8
20241212,0.9441686139647888,1.0
20241213,0.9173033506592247,0.8
20241216,0.9065288567957425,0.2
20241217,0.9057129869191268,0.4
20241218,0.9066415306764661,0.6
20241219,0.9027464921034631,0.8
20241220,0.9188370508690276,1.0
20241223,0.8680998497916129,0.2
20241224,0.909896246909205,1.0
20241225,0.8771450242739784,0.8
20241226,0.9049672382732005,0.4
20241227,0.9115474439367992,0.2
20241230,0.8521734904309397,0.4
20241231,0.8203543474516197,0.4
20250102,1.0,1.0
20250103,1.0,1.0
20250106,0.9999999999999998,1.0
20250107,1.0,1.0
20250108,1.0,1.0
20250109,1.0,1.0
20250110,0.9999999999999998,1.0
20250113,1.0,1.0
20250114,1.0,1.0
20250115,1.0,1.0
20250116,1.0,1.0
20250117,0.9999999999999998,1.0
20250120,1.0,1.0
20250121,0.9999999999999998,1.0
20250122,0.9999999999999998,1.0
20250123,1.0,1.0
20250124,1.0,1.0
20250127,1.0,1.0
20250205,1.0,1.0
20250206,1.0,1.0
20250207,1.0,1.0
20250210,1.0,1.0
20250211,1.0,1.0
20250212,1.0,1.0
20250213,1.0,1.0
20250214,1.0,1.0
20250217,1.0,1.0
20250218,1.0,1.0
20250219,1.0,1.0
20250220,1.0,1.0
20250221,1.0,1.0
20250224,1.0,1.0
20250225,1.0,1.0
20250226,1.0,1.0
20250227,1.0,1.0
20250228,1.0,1.0
20250303,0.9999999999999998,1.0
20250304,0.9999999999999998,1.0
20250305,1.0,1.0
20250306,1.0,1.0
20250307,1.0,1.0
20250310,1.0,1.0
20250311,0.9999999999999998,1.0
20250312,1.0,1.0
20250313,1.0,1.0
20250314,1.0,1.0
20250317,1.0,1.0
20250318,1.0,1.0
20250319,1.0,1.0
20250320,1.0,1.0
20250321,1.0,1.0
20250324,1.0,1.0
20250325,1.0,1.0
20250326,1.0,1.0
20250327,1.0,1.0
20250328,1.0,1.0
20250331,1.0,1.0
20250401,0.94517900733309,0.4
20250402,0.9447002239932559,0.8
20250403,0.9265812569225109,0.2
20250407,0.9215183867744128,0.8
20250408,0.9180522285439873,0.8
20250409,0.9423340411006543,0.6
20250410,0.9174101366992546,0.8
20250411,0.9173251926564664,0.6
20250414,0.9354599808604307,0.4
20250415,0.920312631721816,0.6
20250416,0.9200595065616878,0.6
20250417,0.9384952841715244,0.2
20250418,0.9281386092704099,0.4
20250421,0.9358395553259106,0.0
20250422,0.9153356094492218,0.2
20250423,0.9403839038880706,0.4
20250424,0.9259962375650549,0.2
20250425,0.9431293856919561,0.6
20250428,0.9399341816441064,0.2
20250429,0.9504397499313064,0.4
20250430,0.9365319100538435,0.4
20250506,0.9301766331772736,0.4
20250507,0.9462859131313145,0.6
20250508,0.9492222167074199,0.8
20250509,0.9514840164595053,0.6
20250512,0.9480317068141295,0.6
20250513,0.9486925691953977,0.4
20250514,0.9440045888763141,0.8
20250515,0.9446217982599701,0.6
20250516,0.9475700692043796,0.4
20250519,0.9489903589299689,0.4
20250520,0.9367549001334796,0.8
20250521,0.9359731042294589,0.8
20250522,0.9486610676037258,0.8
20250523,0.9398879877771119,0.8
20250526,0.9379611929191808,0.8
20250527,0.9409757981544005,0.4
20250528,0.9455156066026661,1.0
20250529,0.9513520813920026,0.6
20250530,0.945290194998387,0.2
20250603,0.950377047526095,0.8
20250604,0.9511422253017036,0.6
20250605,0.9509818290718216,0.8
20250606,0.9323973999401922,0.4
