trade_date,rank_ic,top_return_5d,bottom_return_5d,long_short_5d
20260105,-0.1730519773231672,0.0463541466012116,0.10785563185014542,-0.06150148524893382
20260106,-0.05086402477657643,0.02934168917335844,0.060791963603043384,-0.03145027442968494
20260107,-0.04318732011864026,0.027457458221855774,0.06019496865713513,-0.03273751043527936
20260108,-0.07239918157787553,0.013101060345954428,0.03078850664941328,-0.01768744630345885
20260109,-0.06934272392468968,0.0008419563856859153,-0.0037856005521301143,0.004627556937816029
20260112,0.1147131864791793,0.0019556155997628513,-0.05485792441085138,0.056813540010614234
20260113,0.1016864017069328,0.007037811617827478,-0.040040892817276526,0.04707870443510401
20260114,0.10746919538189177,0.00653642996738576,-0.05917406416666713,0.06571049413405289
20260115,0.0380038460843598,0.015289592944016531,0.0024028031340837743,0.012886789809932757
20260116,-0.017435016017966157,0.025605607180141245,0.045135137752106126,-0.01952953057196488
20260119,0.13384815044870693,0.016223225972382307,0.021959994713009922,-0.0057367687406276145
20260120,-0.09709070893521886,0.00830493795881366,0.025977121204537344,-0.017672183245723685
20260121,0.053874390763552736,0.00030535444045215617,0.018730724924357102,-0.018425370483904947
20260122,0.1376214818717693,-0.01164930732486437,-0.003379782359142551,-0.008269524965721819
20260123,0.18234330514577793,-0.021913397362498418,-0.032339048669607046,0.010425651307108628
20260126,0.1391581090069909,-0.029791043548562993,-0.03911577837740509,0.009324734828842097
20260127,0.09945650261622746,-0.011005561500064497,-0.01087028843167138,-0.00013527306839311755
20260128,0.15365640101166483,-0.0017683636101520639,-0.013147419788933799,0.011379056178781734
20260129,0.17591217154588137,-0.00096332105387117,-0.031443107269363495,0.030479786215492324
20260130,0.15911190836352698,0.0017191912381184736,-0.006809992269034535,0.008529183507153008
20260202,0.010214450141394809,0.02676647935533901,0.0474162396116483,-0.02064976025630929
20260203,0.036448035724459996,-0.003918733967190893,0.018039315414760268,-0.021958049381951162
20260204,0.10099810529419043,-0.0032800093368949342,0.002024656213454258,-0.005304665550349192
20260205,0.15436846014260655,0.013886957093048288,0.005953646237968289,0.007933310855079999
